PropertyID,Street,ZestimateDate,ZestimateAmount,SaleDate,SaleAmount,ZestimateOnSaleDate,,Delta of FandG,
48920199,N 34TH ST  ,7/1/1997,"$247,886.00",1/30/2007,"$1,530,000.00","$641,184.00",,"$888,816.00","-$642,132.00"
48663098,N 96th St  ,7/1/2002,"$342,688.00",#N/A,#N/A,#N/A,,,
48663099,N 96th St  ,7/1/2002,"$239,502.00",#N/A,#N/A,#N/A,,,
48663100, Linden Ave N ,7/1/2002,"$207,876.00",#N/A,#N/A,#N/A,,,
48663101, Linden Ave N ,7/1/2002,"$232,286.00",#N/A,#N/A,#N/A,,,
48663102,N 96TH ST  ,7/1/2002,"$229,080.00",9/29/2006,"$335,000.00","$376,619.00",,,
48663103,N 96TH ST  ,7/1/2002,"$236,450.00",4/3/1998,"$139,900.00","$163,382.00",,,
48663104,N 96TH ST  ,7/1/2002,"$254,667.00",#N/A,#N/A,#N/A,,,
48663105, LINDEN AVE N ,7/1/2002,"$210,908.00",7/18/2000,"$187,000.00","$186,719.00",,,
48663106,N 96TH ST  ,7/1/2002,"$273,597.00",6/4/1999,"$179,000.00","$220,488.00",,,
48663107,N 96TH ST  ,7/1/2002,"$253,561.00",10/30/2006,"$399,999.00","$437,850.00",,,
48663108,N 96TH ST  ,7/1/2002,"$435,499.00",#N/A,#N/A,#N/A,,,
48663109,N 96TH ST  ,7/1/2002,"$278,624.00",10/17/2001,"$293,000.00","$255,402.00",,,
48663110,N 96TH ST  ,7/1/2002,"$254,819.00",#N/A,#N/A,#N/A,,,
49144220, WOODLAWN AVE N ,7/1/1997,"$381,239.00",7/25/2007,"$1,150,000.00","$993,723.00",,"$156,277.00",
48663112,N 96TH ST  ,7/1/2002,"$251,843.00",#N/A,#N/A,#N/A,,,
48663113,N 95TH ST  ,7/1/2002,"$356,415.00",#N/A,#N/A,#N/A,,,
48663114,N 95th St  ,7/1/2002,"$181,446.00",#N/A,#N/A,#N/A,,,
48663115,N 95TH ST  ,7/1/2002,"$228,986.00",#N/A,#N/A,#N/A,,,
48663116,N 95TH ST  ,7/1/2002,"$228,652.00",#N/A,#N/A,#N/A,,,
48663117,N 95TH ST  ,7/1/2002,"$225,583.00",10/20/2005,"$325,000.00","$332,773.00",,,
48663118,N 95th St  ,7/1/2002,"$234,753.00",#N/A,#N/A,#N/A,,,
48663119,N 95TH ST  ,7/1/2002,"$220,038.00",#N/A,#N/A,#N/A,,,
48663120,N 95TH ST  ,7/1/2002,"$230,159.00",3/15/2001,"$240,000.00","$207,026.00",,,
48663121,N 95TH ST  ,7/1/2002,"$234,861.00",1/29/1998,"$156,000.00","$151,246.00",,,
48663122,N 95TH ST  ,7/1/2002,"$233,807.00",#N/A,#N/A,#N/A,,,
48663123,N 95th St  ,7/1/2006,"$386,875.00",#N/A,#N/A,#N/A,,,
48665290, LINDEN AVE N ,7/1/2002,"$239,659.00",#N/A,#N/A,#N/A,,,
48665292, LINDEN AVE N ,7/1/2002,"$212,538.00",9/23/2002,"$235,500.00","$217,323.00",,,
48665293, Linden Ave N ,7/1/2002,"$210,857.00",#N/A,#N/A,#N/A,,,
48665294,N 98TH ST  ,7/1/2002,"$282,452.00",#N/A,#N/A,#N/A,,,
48665295,N 98th St  ,7/1/2002,"$304,413.00",#N/A,#N/A,#N/A,,,
48665296,N 98TH ST  ,7/1/2002,"$234,787.00",7/20/2000,"$229,000.00","$201,587.00",,,
48665297,N 98TH ST  ,7/1/2002,"$235,091.00",#N/A,#N/A,#N/A,,,
48665298,N 98th St  ,7/1/2002,"$212,963.00",#N/A,#N/A,#N/A,,,
48665299,N 98th St  ,7/1/2002,"$235,240.00",#N/A,#N/A,#N/A,,,
48665300,N 98th St  ,7/1/2002,"$229,958.00",#N/A,#N/A,#N/A,,,
48665301,N 98th St  ,7/1/2002,"$213,284.00",#N/A,#N/A,#N/A,,,
48665302,N 98th St  ,7/1/2002,"$255,693.00",#N/A,#N/A,#N/A,,,
